message,purpose
"Make sense, will make the change",discussion_participation
idiv has been replaced with iushr.,discussion_participation
"I'll just merge it the way it is. This condition is explicitly called out in the java.lang.instrument.Instrumentation.isModifiableModule?() javadoc, so the condition needs to be in the code if there is ever a case that returns false. Keeping the condition avoids having to slow down the code later.",discussion_participation
"This needs to use `patsubst` instead to avoid altering paths like `foo/Interface` to `foo-Interface`.
```
UMA_M4_INCLUDES := $(patsubst /I%,-I%,$(UMA_C_INCLUDES))
```
Also, spacing around `:=` improves readability.",discussion_participation
18_3 would be better,discussion_participation
separated should be separate,discussion_participation
separated should be separate,discussion_participation
What is this for? It appears unused.,change_request
"Should this be more specific? There were several _shapes_ for Java 9, we should assume there will be several for 18.3 as well.",discussion_participation
Our coding guidelines generally frown upon modifying a formal parameter.,discussion_participation
We should be careful adding instance fields to string due to the footprint increase they cause,discussion_participation
Please be consistent with formatting casts (space between type and `*`).,change_request
Formatting nit: space after 'if'.,discussion_participation
This field is required for Java 18.3 due to references by j.i.UnixFileSystem.canonicalize0.,discussion_participation
"@pshipton indicated in https://github.com/eclipse/openj9/issues/152 ""We expect to only support the latest so a build number should not be needed, and will quickly become out of date."".",discussion_participation
This is required for `Java 18.3` due to `j.i.ModuleBootstrap.boot()` in this Java version throws Exception.,discussion_participation
"The replacement set of natives don't match those required by Java 8.
Each of these should omit the `0` suffix for Java 8 (so they can't be classified as 'common'):
```
allocateMemory0
copyMemory0
defineAnonymousClass0
defineClass0
ensureClassInitialized0
freeMemory0
getLoadAverage0
objectFieldOffset0
reallocateMemory0
setMemory0
staticFieldBase0
staticFieldOffset0
```
These don't appear to exist in Java 8 (I would have expected the call to `RegisterNatives` to complain): they should be removed for Java 8:
```
getUncompressedObject
isBigEndian0
unalignedAccess0
```",discussion_participation
"Pls note the comments for the method `registerJdkInternalMiscUnsafeNativesCommon` as following:
/* register jdk.internal.misc.Unsafe natives common to Java 9, 18.3 and beyond */
`Java 8` doesn't have class j.i.m.Unsafe.",discussion_participation
Java 8 _does_ have sun.misc.Unsafe and it was my understanding that this was how those native were registered (and would be broken by this change). Am I missing something?,discussion_participation
"`Java 8` `s.m.Unsafe` natives are exported explicitly (see `sun_misc_Unsafe_exports.xml`).
Again, `Java 8` doesn't have class j.i.m.Unsafe, whatever change within `Java_jdk_internal_misc_Unsafe_registerNatives` won't affect `Java 8` behaviours.",discussion_participation
As Andrew pointed out this will (negatively) affect footprint: Perhaps we ought to fix UnixFileSystem.canonicalize0?,discussion_participation
"`j.i.UnixFileSystem.canonicalize0` is part of `OpenJDK`. The general idea is to avoid JCL patch as much as possible. 
`Java 18.3` code is still progressing so it might be changed in future builds. In case it stays in final release, the footprint impact on `Java 18.3` due to this additional instance field could be addressed later.",discussion_participation
"I see a reference in java.base/share/native/libjava/jni_util.c, not UnixFileSystem. Adding that byte might _*double*_ the footprint of a String. I don't think we can afford that.",discussion_participation
That makes sense. Thanks.,acknowledgement
Do we still need to call ModuleBootstrap.boot() for Java 18.3? Something is wrong if it needs to be called but then throws an exception.,discussion_trigger
"Not sure about *double* part, there are a few other instance fields within `j.l.String` such as 
`private final byte[] value;`
`private final int count;`
`private int hashCode;`

`Java 18.3` `b23` -version throws following exception without the `coder` field
````
Exception in thread ""main"" java/lang/NoSuchFieldError: java/lang/String.coder
        at java/io/UnixFileSystem.canonicalize0 (java.base@9/NativeMethod:4294967295)
        at java/io/UnixFileSystem.canonicalize (java.base@9/UnixFileSystem.java:170)
        at java/io/File.getCanonicalPath (java.base@9/File.java:618)
        at java/io/File.getCanonicalFile (java.base@9/File.java:643)
        at jdk/internal/loader/URLClassPath.toFileURL (java.base@9/URLClassPath.java:253)
        at jdk/internal/loader/URLClassPath.<init> (java.base@9/URLClassPath.java:188)
        at jdk/internal/loader/ClassLoaders.<clinit> (java.base@9/ClassLoaders.java:85)
        at java/lang/ClassLoader.initializeClassLoaders (java.base@9/ClassLoader.java:183)
        at java/lang/Thread.initialize (java.base@9/Thread.java:422)
        at java/lang/Thread.<init> (java.base@9/Thread.java:153)
````",discussion_participation
"This exception catching code is required because `jdk.internal.module.ModuleBootstrap.boot()` is declared with `throws Exception`, which is mainly due to ` systemModuleFinder.find(JAVA_BASE)` might throw an `IOException`. ",discussion_participation
"OpenJDK `Java 18.3` only has following three instance fields:
  `private final byte[] value;`
  `private final byte coder;`
  `private int hash;`
There is no `count`.
fyi @fjeremic 
",discussion_participation
We bundle to `coder` and the `count` into a single field thus getting the benefit of having a `count` which speeds up substring operations and StringBuilder interaction while also supporting string compression.,discussion_participation
"Adding the coder increases footprint of all strings in compressedrefs by 33% (currently 3 fields so `J9Class*` plus 3 32-bit fields is 16 bytes. Adding another field bumps this to 20, but because of alignment it increases to 24. 1 - 16/24 = 33%. This is definitely something we don't want.",discussion_participation
"I think it's worse: my understanding is that the unit of allocation is now 16 bytes (so everything is 16-byte aligned). String is 16 bytes in Java 8 & 9, the extra byte requires another 16 bytes for a total of 32 bytes.",discussion_participation
"I feel OpenJ9 should have a field `coder` to match OpenJDK for two reasons:
1. OpenJ9 with same `j.l.String` fields as OpenJDK can avoid JCL patches required to fix `NoSuchFieldError` as per earlier comment in this thread. Avoiding JCL patch is as important as performance advantages. Past experience shows JCL patch price tag is high in all perspectives;
2. User applications attempting reflection access of `j.l.String` field `coder` will succeed in OpenJDK but fail at OpenJ9 which usually causes confusion and defect against J9.

Can field `coder` serve the purpose of OpenJ9 only field `count`? I suggest to open another issue for further discussion to rename the field `count` to `coder`. This pull request (adding field `coder`) won't affect `Java 8 & 9`, and allow adoption of `Java 18.3` further updates.",discussion_participation
"> I think it's worse: my understanding is that the unit of allocation is now 16 bytes (so everything is 16-byte aligned). String is 16 bytes in Java 8 & 9, the extra byte requires another 16 bytes for a total of 32 bytes.

You're right! We support compressedrefs shift of 4 so 2^4 = 16 byte alignment. This change will double the size of all string objects.",discussion_participation
"The coder field does not serve the same purpose as count. There is an important difference in the String implementation behavior here for OpenJ9. In OpenJ9 the backing array of a string can be longer than the string length. This is a very useful optimization for a number of cases including when a StringBuilder/StringBuffer has append called after a toString; a substring is used to generate prefix strings; and to prevent having to truncate the backing array of a StringBuilder/StringBuffer when toString is called if the builder's of buffer's backing array is over allocated. Without the count field these optimizations cannot be done. Removing or repurposing the count field does have a major performance implication as a result.

Adding a new field does need a good justification given the huge object size increases that can be seen (per the discussion above). I agree there is a case for minimizing patches, but given how performance sensitive String is a little bit more study might be justified before adopting the field.",discussion_participation
"The only problem with renaming the field from count to coder is that count is an int and coder field is a byte. The byte may only hold 0 or 1 or something like that, but for count the MSB is the bit so I don't know that we can make the reflective access equivalent...",discussion_participation
Related to https://github.com/eclipse/openj9/issues/223.,discussion_participation
"We would go ahead and deliver this change to temporarily add the coder field. As @JasonFengJ9 said, the addition of the coder field only affects Java 18.3, for which there isn't yet any OpenJ9 build provided. The extensions repo for Java 18.3 hasn't been created yet, so we don't have a simple way to patch the JCL code at this time. It can be done later after the extensions repo is created, #223 is opened to track this. Delivering this change enables raw builds of Java 18.3, which is desirable in order to provide initial support for Java 18.3 and make it easier to stay up to date and keep it working.",discussion_participation
Note that the coder field will likely not have the correct value once OpenJ9 enables string compression by default leading the presence of this field to cause incorrect behavior.,discussion_participation
"Does coder() return correct coder value, or the coder value might be changed after string construction once OpenJ9 enables string compression by default?",discussion_participation
The timing of this initialization is problematic: it occurs before the body of any constructor and so it will observe `count == 0` yielding the wrong answer for uncompressed strings.,discussion_participation
There is a mix of spaces and tabs here that won't leave everyone pleased. IMO tabs should never appear after a non-tab.,change_request
"In particular, we try to avoid this kind of alignment as keeping the spacing consistent when new entries are added results in unnecessary changes.",discussion_participation
Removing the space changes to other entries to avoid unnecessary modification.,discussion_participation
Moving `coder` initialization to inside of `j.l.String` constructors. ,discussion_participation
This field should be final. That would highlight the missing initialization in several constructors.,discussion_participation
sigh... fixed.,acknowledgement
"That's better. Thanks, Jason.",acknowledgement
"If you use single quotes around the pattern, I expect fewer escapes would be required.",discussion_participation
"updated commit, seems to still work properly",discussion_participation
"That's not how you spell 'copyrights'. ;-)
I don't think that word should be capitalized.",discussion_participation
"I suspect you didn't have `\` escapes before, but it seems right now.",discussion_participation
fixed,acknowledgement
"The commit says this has been fixed, but this line is still present. I think you may have forgot to remove it. See #218 for details.",discussion_participation
Fixed.,acknowledgement
"The U in ""Memory Usage"" shouldn't be capitalized.",discussion_participation
The usage threshold attribute ...,discussion_participation
The collection usage threshold ...,discussion_participation
"Looking at the html output, there should be a ```<br>``` or two here.",discussion_participation
This should say OpenJ9 instead of IBM-specific.,discussion_participation
"Instead of ""might not be"" use ""is not"".",discussion_trigger
Should this assert?,discussion_trigger
should this assert?,discussion_trigger
could you put a comment on what is happening here?,discussion_trigger
can you write this as ~1 rather than -2 so that it is a bit more clear.,discussion_participation
"I just want this message to be more clear. Instead of ""Please delete the existing one and download it again!"", I think we should say something like - Please delete $filename and rerun the program!",discussion_participation
this is valid or invalid? :),discussion_trigger
"message updated.
",discussion_participation
We should stop specifying `-openj9-branch` since we really only care about `-openj9-sha`,discussion_participation
"I suppose it doesn't really matter. `$TRAVIS_BRANCH=master` and the default is `master` so it doesn't really change anything. If at some point the get_source script changes its default, we would probably want `TRAVIS_BRANCH` instead, although it doesn't really matter because he checkout the SHA anyways.",discussion_participation
containsKey() would also work,discussion_participation
"To avoid unexpected problems, and just as good practice, please create a new Exports rather than modifying the parameter.",discussion_participation
"@pshipton Fixed as suggested, thx!",acknowledgement
"This shouldn't be needed, since the Exports in the Map was already modified on the previous line.",discussion_trigger
"Right, corrected, thx!",discussion_participation
"I think we have to keep the default to be ""default_exclude.txt"".",discussion_participation
change default back to default_exclude.txt,discussion_participation
Remove the System.out.println call.,discussion_participation
This is a good candidate for `Objects.notNull()`,discussion_participation
These printing messages were used for test and already removed.,discussion_participation
Please add one more indentation before \<testCaseName\> \<variations\> and \</variations\>.,change_request
This `RuntimePermission` can be defined within `com\ibm\oti\util\RuntimePermissions.java` as a static constant.,discussion_participation
"Pls use `2017, 2017` instead.",change_request
Same as comments above.,same_as
Same as comments above.,same_as
Same as comments above.,same_as
Same as comments above.,same_as
Same as comments above.,same_as
Same as comments above.,same_as
Same as comments above.,same_as
_must not be null_ sounds better.,discussion_participation
`accessClassModule.isNamed()` is redundant. `Module.canRead()` handles unnamed module case internally.,discussion_participation
Fixed.,acknowledgement
Agreed and fixed as suggested.,acknowledgement
Updated.,acknowledgement
Updated.,acknowledgement
Updated.,acknowledgement
Updated.,acknowledgement
Updated.,acknowledgement
Updated.,acknowledgement
Updated.,acknowledgement
Updated.,acknowledgement
Updated.,acknowledgement
Agreed and fixed.,acknowledgement
"There is another occurrence of `new ReflectPermission(""suppressAccessChecks"")` at method `reflectAs`, pls change it to `ReflectPermissions.permissionSuppressAccessChecks` as well.",discussion_participation
Updated.,discussion_participation
"Minor nit.  Let's change byte-length to byteLength or byte_length, since you end up using this in an equation to subtract 1 at the end.",discussion_participation
I think SRAK is only available on z196 and newer.  Can you double check if we can unconditionally use this?,discussion_participation
Will do.,discussion_participation
Nice catch. Fixed SRAK.,acknowledgement
"I think VENDOR_VERSION should only be defined when its not an OPENJ9_BUILD.
-DVENDOR_VERSION should be sufficient.",discussion_participation
This is a new file: the first year should be 2017.,discussion_participation
"couple of typos in fiullversio, extra i and missing n.",discussion_participation
"sigh, thats where those keystrokes went. :)  Fixed.",acknowledgement
Why does this probe both the old and new locations for the property?,discussion_participation
"The intent of this is to set the local connector address in the system properties, per the reference implementation, and return the address.  

If the property is unset in the system properties, then the agent has not been started before.  This is not an error condition.  However, if the agent has been started  the property should have been set.",discussion_participation
Should addr be checked for null first?,discussion_trigger
Pls add spaces around +,change_request
Pls add spaces around +,change_request
Pls add spaces around +,change_request
"This comment implies that calling setProperty with a null value will work, however it throws NPE.",discussion_trigger
Fixed.,acknowledgement
True.  Fixed.,acknowledgement
"I think you mean ""an exception"", not ""and exception"".",discussion_participation
"Sorry, forgot to push my changes.",change_request
"hmm, the bigEndian case needs more thought - wasn't was wrong the big endian case?",discussion_participation
"It seems the problem was that both endian cases were incorrect, but since the little endian use case had been running in testing for 8 months without signs of problems we assumed that the problem was big-endian specific and disabled that code path. This change effectively swaps the little endian handling to what would have been (part of) the big endian code path.",discussion_participation
Can you swap the arguments so the constant is on the left?,discussion_participation
"Actually, I think that sort of 'cleanup' should be done in a separate PR.
You will need to sign the Eclipse Contributor Agreement (ECA).",discussion_participation
I have a ECA signed yesterday so hopefully all in the system by now,discussion_participation
It is weird.  You did not fail the IP-Validation.  It says that the service is down.   It does appear that your commit message is missing the signed-off by tag though.  Your PR comment has it but not the commit as far as I can see.,discussion_participation
"The format of that line (in your commits) should be:
```
Signed-off-by: Steve Wallin <steve_wallin@uk.ibm.com>
```",discussion_participation
"Comments should generally go above the code being described, rather than below.",discussion_participation
Rename?,discussion_participation
"Above it says J9ClassRef and here it says J9Class, although it returns an InternalRamClass",discussion_participation
j9ClassRef doesn't match the argument internalRamClass,discussion_participation
"I didn't notice earlier. This comment has the same problem fixed in VMAccess.java, referring to J9ClassRef and J9Class.",discussion_participation
Don't call `getJITHelpers` again.  It's already been fetched into the `jitHelper` local.  Same on the other branch of the if.,discussion_participation
Java `asserts` almost never run as they are only enabled when running with `-ea` or similar command line variation.  Use `Objects. requireNonNull(classObject)` to enforce the check always.,discussion_participation
`VM.getVMLangAccess()` is already cached in the `access` local.,discussion_participation
"Although adding classes to the vmconstantpool is the easy way to get them loaded / available, it is a startup cost. 

Given that the sun_reflect_constantpool code already uses the JNI id cache, wouldn't this be a good candidate for that mechanism rather than the vmconstantpool?",discussion_participation
`CLASSREF` has classfile constant pool connotations.  This should mention either the ConstantPoolOOP or InternalRamClassRef in the name of the macro so it's clearer what's happening here.,discussion_participation
"There's an lot of atomic operations happening here - 
* this method drops VMAccess, 
* then toReflectMethod will acquire and drop it again, 
* then this method acquires it so it can be dropped again at the bottom of the method.

 Things that we can ignore: 
* deleting the localref isn't necessary - it will be cleaned up when the method returns.
* extra acquire / releases in the setNativeOOM case are fine.  In fact, use `throwNativeOOMError()` as it handles the acquire / release for you.",discussion_participation
Can this be cached above to avoid the vmaccess concerns?,discussion_participation
"Do you mean load j.l.InternalRamClass with `(*env)->FindClass(...)` and then store it in the `JniIDCache` ?

If we took this approach we would have to also cache the `vmref` `jfieldID` as well and use `(*env)->GetLongField(...)` in every place we are using `J9CLASS_FROMJ9CLASSREF`. This would mean adding more acquire / releases vmaccess points.

What I really need is the vmconstantpool fieldref for `vmref`. It is my understanding that if you create a fieldref you also need the owning classref in the vmconstanpool. I don't need to explicitly load the class or even require `J9Class*` for j.l.InternalRamClass.",discussion_participation
"Correct - anything in the VM CP with a fieldref is resolved on startup, and can always be used.  You still need VM access to do so.

Also note, that JNI functions like FindClass are VM access acquire/release points already, so doing it explicitly is not actually more calls.",discussion_participation
The method that this replaces was poorly named: I suggest 'computeOffset' would be better. Also the second argument would be better named 'baseOffset' to reflect the origin of that value.,discussion_participation
Thanks! Will fix it.,acknowledgement
A better name for this class of fields would be 'BASE_OFFSET'.,discussion_trigger
Perhaps it would improve clarity and avoid the possibility of permuting the arguments to 'computeIndex' by introducing a single-argument version that mixes in OFFSET and SCALE.,discussion_participation
"I was hoping to achieve this, but it would mean copying the `computeOffset` method body into every type-specific subclass.",discussion_participation
Fixed,acknowledgement
Fixed,acknowledgement
Fixed,acknowledgement
"We support some platforms that aren't using c99 compilers yet so locals need to be defined at the top of a scope.

Also, all locals should be given an initial value to protect against future refactoring that may read them before they're defined.",discussion_participation
I see. It has been updated.,discussion_participation
Slightly related but it appears J9IA32CompressString.asm can be deprecated too. This is outside the scope of this PR though.,discussion_participation
"Thank-you for pointing it out, I'll look into clean it up later.",discussion_participation
Does this need an assert?  Or is not throwing an exception sufficient?,discussion_trigger
"This is a normal test case that should pass in any case; otherwise, any exception will be captured if something wrong. 

In addition, we've got test_findConstructor_ArityLimit_TooHigh() to capture the exception in the corner case.",discussion_participation
"*/ should be on it's own line, with stars lined up",discussion_trigger
"Can you add a comment here to explain why the commented out code is here?  I know there's a valid reason in this case (make it easy to find this location if the 8 vs 9 checks are changed to a compile time decision) and without a comment to remind reviewers, it looks like dead code and might be removed in the future.",discussion_participation
Where is this used?  The staticverify.c change was reverted before we opened the code.  Did it get lost?,discussion_participation
Yes. I've added it back in. I will rebuild this change.,discussion_participation
Does this only apply to Java 9?  It'll likely need a `if (J2SE_VERSION(vm) >= J2SE_19) ` check,discussion_participation
@DanHeidinga I figured out the version issue I was having was because the vm version is replaced by the class file version prior to checking the <clinit> structure. What do you think of this fix with passing in a new variable with the vm version?,discussion_participation
`vmVersionShifted & BCT_MajorClassFileVersionMask` can this be pulled into a local?  The check will more readable that way.,discussion_participation
Why does this take a portlb and set up for using it?  I don't see a use in the function.,discussion_trigger
"Or, rather than passing the shifted version around, can the version be determined at the calcite and just pass the vmSupportedVersion around?",discussion_participation
Not sure what happened here but it shouldn't be a new file.,discussion_participation
That was just for debugging.,acknowledgement
The mask is redundant from the declaration of vmVersion in cfreader.c. I'll remove it.,discussion_participation
"Please add a space after the comma.
I think we should expect `vendor_version.h` to also define `VENDOR_SHORT_NAME` (or something similar) which should be used here rather than the first three characters of `VENDOR_NAME`.",discussion_participation
"This should be
```
#if defined(VENDOR_NAME) && defined(VENDOR_SHA)
```",discussion_participation
"This should be
```
#if defined(VENDOR_NAME) && defined(VENDOR_SHA)
```",discussion_participation
"Now that the name and SHA are separate, the whole name should be written; also these three calls to `writeCharacters` can be collapsed.",discussion_participation
There should be a comment at the end of this line identifying the condition in the `#if` line.,discussion_trigger
Please `&&` instead of `and` (for consistency at least).,discussion_participation
This blank line was helpful in separating the copyright notice from what follows.,change_request
and also the javacore file,discussion_participation
spelling `nut` ,acknowledgement
"nitpick ""range*/"" should be space for '*/'",discussion_participation
"A test with a target methodHandle that accepts no parameters (ie ()Ljava/lang/String;) might be usefull as well. 

Similarly a non-NULL empty parameter list would also be usefull",discussion_participation
"if location is zero indexed then wouldn't ""valueTypes.size() <= location"" also be out of range?",discussion_participation
"If this is a new introduced file, the year should begin from 2017",discussion_participation
I discussed with Jack and the second check ensures that location never overflows,discussion_participation
The string should be externalized. Look for MSG in this class to find examples.,discussion_trigger
"fixed, moved exceptions to ExternalMesages-MasterIndex
added entries K0670 - K0674",discussion_participation
This isn't required.  An uncaught exception will cause the test to fail.,discussion_trigger
This isn't required.  An uncaught exception will cause the test to fail.,discussion_trigger
This isn't required.  An uncaught exception will cause the test to fail.,discussion_trigger
This isn't required.  An uncaught exception will cause the test to fail.,discussion_trigger
This isn't required.  An uncaught exception will cause the test to fail.,discussion_trigger
This isn't required.  An uncaught exception will cause the test to fail.,discussion_trigger
This isn't required.  An uncaught exception will cause the test to fail.,discussion_trigger
This isn't required.  An uncaught exception will cause the test to fail.,discussion_trigger
This isn't required.  An uncaught exception will cause the test to fail.,discussion_trigger
This isn't required.  An uncaught exception will cause the test to fail.,discussion_trigger
This isn't required.  An uncaught exception will cause the test to fail.,discussion_trigger
This isn't required.  An uncaught exception will cause the test to fail.,discussion_trigger
This isn't required.  An uncaught exception will cause the test to fail.,discussion_trigger
"Can you write this as
```
if ((skippedArgumentCount < 0) || 
```
It tends to be easier to read as the bounds then.",discussion_participation
"Please cache `valueTypes.size()` in a local.  Because the parameter is a List, we don't know how expensive that operation might be and the result is used repeatedly in this method",discussion_participation
`0 > value` is a strange idiom for checking if the value is negative.  Write the code so it's easy to read and matches most readers expectations.,discussion_participation
This should be proceeded by a comment that includes the K0670 and the message using preprocessor tags.  Search for other uses of the com.ibm.oti.util.Msg class to see how the comment should look,change_request
This should be proceeded by a comment that includes the K0670 and the message using preprocessor tags.  Search for other uses of the com.ibm.oti.util.Msg class to see how the comment should look,change_request
This should be proceeded by a comment that includes the K0670 and the message using preprocessor tags.  Search for other uses of the com.ibm.oti.util.Msg class to see how the comment should look,change_request
This should be proceeded by a comment that includes the K0670 and the message using preprocessor tags.  Search for other uses of the com.ibm.oti.util.Msg class to see how the comment should look,change_request
cache the result of `valueTypes.get(i)` in a local in the for loop so it only needs to be executed once.,discussion_trigger
"Formatting nitpick: please write this as
``` 
} else if {
```
Here and other places need to be modified.",change_request
Can we Doxygen document these functions?,discussion_participation
There seems to be changes in the _public_ API here. Can we document these APIs?,discussion_participation
Can we move this definition closer to where it is actually used?,discussion_participation
"We don't have to do this now, but we would get some pretty subtle bugs if the preserved register list was ever modified without updating this constant. We should consider in the future generating this map using the list of preserved registers directly from the linkage rather than encoding it by hand.",discussion_participation
We should document `returnReg`.,discussion_participation
Is `paramInRegisters` even being used anywhere in the codebase? I don't see any occurrences. Is it possible to simplify this API by removing the parameter?,discussion_participation
You seem to be using a mix of tabs and spaces in this commit. Please use spaces only as the rest of the codebase does.,discussion_participation
Formatting alignment issues here.,change_request
Makes sense. I have added a comment at this point. Basically what we should have is one function that goes over list of preserved register and prepares register map for GC. I have added this in `TODO` right now. ,discussion_participation
I added Doxygen styled documentation with explanation for each overloaded function. ,discussion_participation
"Currently `paramInRegister` is used only by `VMNewEvaluator`. In cases where we have child `iconst` or `iload` (Basically 32-bit values to be passed as argument), evaluating that child only changes the lower half of the register keeping upper half intact. This was hitting an issue where C helper function was trying to use whole argument register.",discussion_participation
Is it possible to remove the use and deprecate this parameter?,discussion_participation
Still a mix of tabs and spaces here. Please enable whitespace hints on your editor and fix all of them up. You may want to consider setting `core.safecrlf false` and `core.autocrlf input` in your .gitconfig for this project.,discussion_participation
In VMNew evaluator with current implementation of `iconstEval*` on it is not possible it uses `LHI` instruction to load so we end up having only lower 32 bits of the register filled with value. `new` helper uses whole 64 bits in argument. This causes allocation of wrong type of object or very large size array which causes `AIOOB`. ,discussion_participation
"Ok, I understand. Still seems odd that we have a very general API for a very specific case. IMO we would benefit from having consistency everywhere and sending hand crafted call nodes to the linkage, same as Power codegen does. In this would you can have an `i2l` tree for the scenario you describe in VMNewEvaluator and everything just works and is consistent.

This is outside the scope of this PR though, but a nice to have in the future.",discussion_participation
GPR14 is a preserved register according to XPLINK register linkage.  Should that be included here?   ,discussion_participation
"@joransiu Good catch. Just checked linkage, We do need to preserve it on zOS. Added it. Let me do basic test with it. ",discussion_participation
Finished local unit tests. Should be good to go. ,discussion_participation
"Nitpick: This condition is reasonably short - it could get away with being a single line 
```
if ((CFR_METHOD_NAME_CLINIT == isInit) && (0 != argCount)) {
```",discussion_participation
"Given how long this has waited for me to finish the review (sorry) I'm going to merge it as is.  If you want to address this nitpick, feel free to open a new PR (or not).",discussion_participation
"or more precisely, I'll kick off the PR build and merge once the build succeeds.",discussion_participation
"This is to maintain b148 composing which still overlays new changes at top of a base SDK. If not deleted, SDK will have two modules with same package/classes, and `jlink` won't work.",discussion_participation
"Is this script required? package `com.ibm.dataaccess` export is removed within module `java.base` in same xml file, and there is no change to the actual package/class files.",discussion_participation
"Pls keep previous changes, i.e., just move the file and not modify it which has better chance to let EGit connect file history. Copyright year changing can be in another pull request.",discussion_participation
The copyright check fails without updating the copyright. Is that alright?,discussion_participation
I think it is ok to merge with copyright check failure in this case unless @DanHeidinga says otherwise.,discussion_participation
This file on the other hand is missing a copyright.  Can you add the copyright header to it?,discussion_participation
This script doesn't seem to be needed. Will remove.,discussion_participation
Added.,discussion_participation
There is no need to modify this file.,discussion_participation
Why was private removed?,discussion_participation
Removing the `private` modifier avoids the need for a bridge method.,discussion_participation
"I know this pull request is WIP, but note this needs to be fixed.",discussion_participation
"`CCLINK` is defined a number of places, but I couldn't find any uses; perhaps this should define `CCLINKEXE`?",discussion_participation
"That could be.  I copied this from the omr/example/glue.  I am still working on getting a successful build alongside openj9 and the extensions.  My current area of area is the linking...so may change again.  I will investigate down this path too, thanks for the pointer.",discussion_participation
This file needs review for removal of 390/ppc/arm use cases.,discussion_participation
Can you please organize imports (alphabetically)?,change_request
"Done, in the next push.",discussion_participation
If you subclassed the Unix implementation this file could be smaller as you would only have to override `getSharedLibSuffix()` but it may also change some of the functionality...,discussion_participation
"That occurred to me as well, but the class is so small I don't think it's really worth it.",discussion_participation
"`[JavaOne 2017: Open sourcing the IBM J9 Java Virtual Machine[`
The final `[` should be a `]`",discussion_participation
d'oh!,acknowledgement
I suggest this would read better if the `if` were inverted; then both the condition is closer to the beginning of both branches. (Same comment for both changes).,discussion_participation
The formatting is inconsistent (extra spacing).,discussion_participation
"`getPackageName` will have called `isPrimitive` and may have already called `isArray`: perhaps it would be better to reorder the calls here so `getPackageName` is called after we've ruled out primitive and array types?

Could you also correct the javadoc for `getPackageName`?",discussion_trigger
Good plan.  Done.,discussion_participation
Fixed!,acknowledgement
"Fixed in the PR, I didn't use the automatic github commit.",discussion_participation
Fixed,acknowledgement
Fixed,acknowledgement
"I added tests so now we're doing all three `singleAlignment`, `objectAlignment`, and `longAlignment`.  The tests are now using `checkFieldAccessMHOfAssortedType` on each array element.",discussion_participation
I just switched back the number for now.,discussion_participation
@tajila I think it makes sense to enable the GC as a separate variation.  It may help track down if the issue is GC specific. What do you think?,discussion_participation
Fixed,acknowledgement
Created an issue for this: https://github.com/eclipse/omr/issues/5018,discussion_participation
This one line was added.,discussion_trigger
Is the hack actually misspelled? (Two `R`s),discussion_participation
![facepalm](https://media.giphy.com/media/3og0INyCmHlNylks9O/giphy.gif),discussion_participation
"* 'high performance', or 'highly performant'
* 'OpenJ9', not 'openj9' 
* Talking in the abstract about the component is odd -- I'd instead simply talk about the 'compiler' ",discussion_participation
"I tend to agree with Andrew, that detail should probably not live in this document; doubly so since a good chunk of this would end up reproducing the[ Testarossa Problem Determination Guide from OMR](https://github.com/eclipse/omr/blob/master/doc/compiler/ProblemDetermination.md)",discussion_participation
I almost think it would be best to document `-Xtrace` first :) ,discussion_participation
"To me, it looks a bit funny if you do it that way, but this could just be the way that my brain likes repetition close together. 
",discussion_participation
Issue is https://github.com/ibmruntimes/openj9-openjdk-jdk9/issues/34,discussion_participation
"Right -- the link has to be `https://github.com/ibmruntimes/openj9-openjdk-jdk9/issues/34` 

(Github collapses internal links into identifiers that are easier to read, but do not function within markdown documents)",discussion_participation
Can this comment link to an issue tracking this problem? ,acknowledgement
"Maybe replace ""basest"" with least-derived, or most generic? ",discussion_participation
I alphabetized the includes in `InterpreterEmulator.hpp` and `J9Inliner.hpp` in c226bfd,discussion_participation
"I tried adding some logging and it looks like we are getting there.

For a call like `""abcde"".indexOf('a')`, the trees look like this:
```
n5n         icall  java/lang/String.indexOf(I)I[#361  final virtual Method -200] [flags 0x20500 0x0 ]  [0x7f0d05419490] bci=[-1,4,92] rc=2 vc=9 vn=- li=- udi=- nc=2
n3n           aload  <string ""abcde"">[#358  Static] (obj1) [flags 0x80000307 0x0 ]            [0x7f0d054193f0] bci=[-1,0,92] rc=1 vc=8 vn=- li=- udi=- nc=0
n4n           iconst 97                                                                       [0x7f0d05419440] bci=[-1,2,92] rc=1 vc=8 vn=- li=- udi=- nc=0
```

I think because the `'a'` becomes an `iconst`, the constraint is an integer type.

I will change targetChar to 32-bit.",discussion_participation
typo here? `loop class` must be changed to `lookup class`?,discussion_trigger
"Can you explain why we need to ""construct"" JVM_VERSION using JAVA_IMPL and and JAVA_VERSION? I am just trying to understand :)) 

The way I have it in this PR seems to be working perfectly. For example, in the job below, the JVM_VERSION provided while launching the Jenkins job is 'openjdk8-openj9', and it gets passed down into the actual third party application test build script as expected:  e.g.: https://ci.adoptopenjdk.net/view/work%20in%20progress/job/test_personal/223/console",discussion_participation
"Thanks for the explanation. Makes sense to me now! I've made the change in the PR. 

Validated the change with personal build: https://ci.adoptopenjdk.net/view/work%20in%20progress/job/test_personal/230/console",discussion_participation
Done!,discussion_participation
